account_id,district_id,frequency,date
576,55,POPLATEKMESICNE,930101
3818,74,POPLATEKMESICNE,930101
704,55,POPLATEKMESICNE,930101
2378,16,POPLATEKMESICNE,930101
2632,24,POPLATEKMESICNE,930102
1972,77,POPLATEKMESICNE,930102
1539,1,POPLATEKPOOBRATU,930103
793,47,POPLATEKMESICNE,930103
2484,74,POPLATEKMESICNE,930103
1695,76,POPLATEKMESICNE,930103
1726,48,POPLATEKMESICNE,930103
2881,70,POPLATEKMESICNE,930104
2357,19,POPLATEKMESICNE,930104
2177,62,POPLATEKMESICNE,930104
485,6,POPLATEKPOOBRATU,930104
652,21,POPLATEKMESICNE,930105
9635,70,POPLATEKMESICNE,930105
1844,44,POPLATEKMESICNE,930106
1926,37,POPLATEKMESICNE,930106
2393,10,POPLATEKMESICNE,930107
3510,41,POPLATEKMESICNE,930107
1276,36,POPLATEKMESICNE,930107
1637,1,POPLATEKMESICNE,930108
3871,26,POPLATEKMESICNE,930108
192,55,POPLATEKMESICNE,930108
764,1,POPLATEKMESICNE,930108
2087,7,POPLATEKTYDNE,930108
2122,68,POPLATEKMESICNE,930108
3592,54,POPLATEKMESICNE,930108
3487,41,POPLATEKMESICNE,930108
435,38,POPLATEKMESICNE,930108
1730,1,POPLATEKMESICNE,930109
1493,41,POPLATEKMESICNE,930109
374,38,POPLATEKMESICNE,930109
2925,1,POPLATEKMESICNE,930110
866,9,POPLATEKMESICNE,930110
1628,60,POPLATEKMESICNE,930110
2379,44,POPLATEKMESICNE,930110
1979,26,POPLATEKMESICNE,930111
346,37,POPLATEKMESICNE,930111
1338,74,POPLATEKMESICNE,930111
1909,14,POPLATEKMESICNE,930112
2099,3,POPLATEKTYDNE,930112
3760,44,POPLATEKMESICNE,930113
5270,44,POPLATEKMESICNE,930113
1699,53,POPLATEKMESICNE,930114
3909,1,POPLATEKMESICNE,930114
2926,50,POPLATEKMESICNE,930114
1731,33,POPLATEKMESICNE,930114
11265,15,POPLATEKMESICNE,930114
2519,4,POPLATEKMESICNE,930115
10364,55,POPLATEKMESICNE,930117
1481,15,POPLATEKMESICNE,930117
401,32,POPLATEKMESICNE,930118
4034,1,POPLATEKMESICNE,930118
2330,54,POPLATEKMESICNE,930119
1806,40,POPLATEKMESICNE,930119
3834,54,POPLATEKMESICNE,930119
1222,66,POPLATEKMESICNE,930120
212,27,POPLATEKTYDNE,930120
456,49,POPLATEKMESICNE,930121
459,47,POPLATEKMESICNE,930121
772,45,POPLATEKMESICNE,930121
1019,52,POPLATEKMESICNE,930121
11295,74,POPLATEKMESICNE,930121
2970,60,POPLATEKMESICNE,930122
2676,73,POPLATEKMESICNE,930122
1536,41,POPLATEKTYDNE,930122
1179,74,POPLATEKMESICNE,930123
280,25,POPLATEKMESICNE,930123
2425,41,POPLATEKMESICNE,930123
9307,68,POPLATEKMESICNE,930124
4055,23,POPLATEKMESICNE,930124
5065,66,POPLATEKMESICNE,930124
3704,75,POPLATEKMESICNE,930124
477,1,POPLATEKMESICNE,930125
5891,54,POPLATEKMESICNE,930125
1000,77,POPLATEKMESICNE,930125
1750,1,POPLATEKMESICNE,930126
2023,68,POPLATEKMESICNE,930126
6473,12,POPLATEKMESICNE,930126
1649,46,POPLATEKMESICNE,930126
2670,13,POPLATEKMESICNE,930127
1127,27,POPLATEKMESICNE,930127
163,30,POPLATEKMESICNE,930127
2566,48,POPLATEKMESICNE,930127
9,70,POPLATEKMESICNE,930127
1144,59,POPLATEKMESICNE,930128
2902,32,POPLATEKMESICNE,930128
4296,63,POPLATEKMESICNE,930128
443,64,POPLATEKMESICNE,930128
3693,61,POPLATEKMESICNE,930129
2070,72,POPLATEKMESICNE,930129
1843,12,POPLATEKMESICNE,930130
2714,1,POPLATEKMESICNE,930130
4078,40,POPLATEKMESICNE,930130
1675,36,POPLATEKMESICNE,930201
5868,44,POPLATEKMESICNE,930202
1805,1,POPLATEKMESICNE,930202
2434,17,POPLATEKMESICNE,930202
3007,16,POPLATEKMESICNE,930202
2574,68,POPLATEKMESICNE,930202
862,64,POPLATEKTYDNE,930202
1132,1,POPLATEKTYDNE,930203
4484,54,POPLATEKMESICNE,930203
943,1,POPLATEKMESICNE,930203
3514,7,POPLATEKMESICNE,930203
3983,67,POPLATEKMESICNE,930204
9265,1,POPLATEKMESICNE,930204
465,32,POPLATEKMESICNE,930204
982,54,POPLATEKMESICNE,930205
411,70,POPLATEKMESICNE,930205
890,14,POPLATEKMESICNE,930205
627,63,POPLATEKMESICNE,930205
2429,61,POPLATEKMESICNE,930206
3960,64,POPLATEKMESICNE,930206
2256,48,POPLATEKMESICNE,930206
8051,1,POPLATEKTYDNE,930207
2647,73,POPLATEKMESICNE,930208
2241,6,POPLATEKMESICNE,930208
5622,70,POPLATEKMESICNE,930208
2884,1,POPLATEKMESICNE,930208
1830,10,POPLATEKMESICNE,930208
7753,74,POPLATEKMESICNE,930208
244,24,POPLATEKMESICNE,930208
1477,1,POPLATEKMESICNE,930208
4240,50,POPLATEKMESICNE,930208
1006,6,POPLATEKMESICNE,930208
830,74,POPLATEKMESICNE,930208
9188,45,POPLATEKMESICNE,930208
1965,57,POPLATEKPOOBRATU,930208
1134,6,POPLATEKMESICNE,930209
1601,10,POPLATEKMESICNE,930209
2861,38,POPLATEKMESICNE,930210
813,16,POPLATEKMESICNE,930210
2585,75,POPLATEKMESICNE,930210
2220,16,POPLATEKMESICNE,930210
2763,64,POPLATEKMESICNE,930211
2342,51,POPLATEKMESICNE,930211
1944,72,POPLATEKMESICNE,930212
1966,27,POPLATEKMESICNE,930212
1801,46,POPLATEKMESICNE,930213
2543,68,POPLATEKMESICNE,930213
2293,31,POPLATEKMESICNE,930213
11013,1,POPLATEKTYDNE,930214
2423,30,POPLATEKMESICNE,930214
142,51,POPLATEKMESICNE,930215
3424,74,POPLATEKMESICNE,930216
539,13,POPLATEKPOOBRATU,930216
979,21,POPLATEKMESICNE,930216
3554,66,POPLATEKMESICNE,930216
3545,51,POPLATEKMESICNE,930217
3047,16,POPLATEKMESICNE,930217
3374,21,POPLATEKMESICNE,930217
96,68,POPLATEKMESICNE,930218
461,30,POPLATEKMESICNE,930218
3593,1,POPLATEKMESICNE,930218
3026,24,POPLATEKMESICNE,930218
1054,10,POPLATEKMESICNE,930219
2433,71,POPLATEKMESICNE,930219
3691,50,POPLATEKMESICNE,930219
3787,70,POPLATEKMESICNE,930219
