card_id,disp_id,type,issued
1005,9285,classic,93110700:00:00
104,588,classic,94011900:00:00
747,4915,classic,94020500:00:00
70,439,classic,94020800:00:00
577,3687,classic,94021500:00:00
377,2429,classic,94030300:00:00
721,4680,junior,94040500:00:00
437,2762,classic,94060100:00:00
188,1146,classic,94061900:00:00
13,87,classic,94062900:00:00
732,4763,classic,94072100:00:00
181,1066,classic,94081900:00:00
384,2475,junior,94091500:00:00
309,1946,classic,94091900:00:00
478,3084,classic,94100900:00:00
563,3589,classic,94102100:00:00
369,2363,classic,94110800:00:00
376,2428,classic,94111000:00:00
483,3115,classic,94112400:00:00
174,1039,junior,94120400:00:00
658,4251,classic,94122500:00:00
763,5138,junior,94123000:00:00
778,5275,classic,95010200:00:00
1039,9837,classic,95010700:00:00
477,3082,junior,95011600:00:00
168,1018,classic,95012400:00:00
314,1999,junior,95012700:00:00
468,3023,classic,95013000:00:00
208,1246,gold,95020800:00:00
766,5200,classic,95021100:00:00
464,2984,classic,95022100:00:00
497,3184,classic,95030300:00:00
166,999,classic,95030500:00:00
15,114,classic,95030500:00:00
503,3225,classic,95030800:00:00
1038,9787,junior,95033000:00:00
737,4791,classic,95041300:00:00
418,2623,classic,95041400:00:00
759,5117,junior,95041800:00:00
223,1353,classic,95041800:00:00
5,51,junior,95042400:00:00
159,946,classic,95050100:00:00
1223,13231,junior,95050200:00:00
662,4293,classic,95050900:00:00
779,5323,junior,95052100:00:00
1040,9890,junior,95052800:00:00
545,3458,classic,95053000:00:00
467,3019,classic,95060500:00:00
1247,13660,classic,95061300:00:00
652,4211,classic,95061600:00:00
559,3573,classic,95061700:00:00
719,4663,classic,95062400:00:00
397,2513,classic,95062400:00:00
107,593,classic,95062700:00:00
661,4270,classic,95070300:00:00
484,3116,classic,95070400:00:00
501,3197,classic,95070900:00:00
422,2650,junior,95071100:00:00
705,4555,classic,95071200:00:00
410,2569,classic,95072000:00:00
136,778,classic,95072800:00:00
592,3782,junior,95080700:00:00
262,1647,junior,95082400:00:00
18,128,classic,95082500:00:00
3,41,gold,95090300:00:00
98,537,classic,95090600:00:00
167,1011,classic,95091500:00:00
97,531,junior,95091900:00:00
699,4532,classic,95092600:00:00
342,2157,classic,95092700:00:00
713,4627,classic,95093000:00:00
118,652,classic,95102200:00:00
783,5433,junior,95102400:00:00
1103,11189,classic,95110400:00:00
504,3230,junior,95110600:00:00
261,1629,gold,95110900:00:00
296,1876,gold,95111300:00:00
113,629,junior,95111600:00:00
92,508,classic,95112000:00:00
1225,13268,classic,95112200:00:00
393,2498,junior,95120300:00:00
695,4507,classic,95121500:00:00
666,4328,junior,95122500:00:00
462,2978,classic,95123000:00:00
85,489,classic,95123100:00:00
337,2141,classic,96010100:00:00
771,5233,classic,96010800:00:00
379,2431,classic,96011200:00:00
106,592,classic,96011400:00:00
606,3883,classic,96012200:00:00
427,2688,gold,96012500:00:00
202,1228,classic,96020400:00:00
